City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guerrero negro,27.9769,-114.0611,26.09,24,88,1.82,MX,1702938288
1,port-aux-francais,-49.35,70.2167,7.32,95,99,17.81,TF,1702938288
2,newman,37.3138,-121.0208,16.83,69,100,4.8,US,1702938288
3,anadyr,64.75,177.4833,-18.72,84,100,5.0,RU,1702938288
4,ilulissat,69.2167,-51.1,-8.99,62,75,11.32,GL,1702938289
5,hawaiian paradise park,19.5933,-154.9731,22.8,92,100,4.63,US,1702938289
6,klaksvik,62.2266,-6.589,4.51,68,58,9.26,FO,1702938289
7,thompson,55.7435,-97.8558,-8.91,86,40,2.57,CA,1702938273
8,margaret river,-33.95,115.0667,12.67,72,73,6.04,AU,1702938290
9,saldanha,-33.0117,17.9442,15.03,77,41,10.57,ZA,1702938290
10,lihue,21.9789,-159.3672,25.58,70,20,9.26,US,1702938290
11,waitangi,-43.9535,-176.5597,15.46,74,47,3.73,NZ,1702938290
12,blackmans bay,-43.0167,147.3167,14.07,88,87,4.68,AU,1702938290
13,adamstown,-25.066,-130.1015,22.89,80,100,6.53,PN,1702938291
14,zheleznodorozhnyy,55.7503,38.0042,2.12,99,100,4.47,RU,1702938291
15,beitbridge,-22.2167,30.0,27.65,67,100,3.55,ZW,1702938291
16,porbandar,21.6422,69.6093,20.84,40,31,5.83,IN,1702938291
17,wailua homesteads,22.0669,-159.378,25.24,75,20,9.26,US,1702938291
18,bethel,41.3712,-73.414,9.01,74,75,8.23,US,1702938292
19,holualoa,19.6228,-155.9522,24.91,77,75,3.6,US,1702938044
20,surgut,61.25,73.4167,-12.83,82,40,6.0,RU,1702938292
21,afaahiti,-17.75,-149.2833,24.93,86,100,4.24,PF,1702938292
22,argo,37.6333,22.7333,9.65,45,0,2.02,GR,1702938292
23,nyrob,60.733,56.7202,-9.48,95,100,3.07,RU,1702938292
24,maxixe,-23.8597,35.3472,24.58,91,41,2.42,MZ,1702938293
25,ola,59.5833,151.2833,-24.23,88,8,5.57,RU,1702938293
26,bredasdorp,-34.5322,20.0403,15.43,70,26,1.7,ZA,1702938293
27,ust-nera,64.5667,143.2,-38.03,98,84,1.33,RU,1702938293
28,chibougamau,49.9168,-74.3659,0.79,100,100,5.14,CA,1702938293
29,qaqortoq,60.7167,-46.0333,-4.07,94,100,2.79,GL,1702938293
30,albany,42.6001,-73.9662,7.23,85,100,4.02,US,1702938294
31,olinda,-8.0089,-34.8553,27.85,74,40,3.6,BR,1702938294
32,yellowknife,62.456,-114.3525,-18.1,93,20,4.12,CA,1702938294
33,puerto ayora,-0.7393,-90.3518,28.98,90,68,1.34,EC,1702938294
34,kapuskasing,49.4169,-82.4331,-8.95,79,100,7.2,CA,1702938294
35,uturoa,-16.7333,-151.4333,26.48,78,99,3.67,PF,1702938295
36,san antonio de pale,-1.4014,5.6325,27.13,81,98,2.56,GQ,1702938295
37,djamaa,33.5339,5.9931,12.17,62,100,2.89,DZ,1702938295
38,avarua,-21.2078,-159.775,27.03,74,75,6.69,CK,1702938295
39,kondopoga,62.2057,34.2614,-1.18,95,84,4.92,RU,1702938295
40,pisco,-13.7,-76.2167,22.03,83,0,9.26,PE,1702938295
41,port mathurin,-19.6833,63.4167,26.63,77,4,7.11,MU,1702938296
42,jelgava,56.65,23.7128,6.02,97,100,4.98,LV,1702938296
43,tura,25.5198,90.2201,14.09,89,48,1.38,IN,1702938296
44,edinburgh of the seven seas,-37.0676,-12.3116,14.8,77,13,6.58,SH,1702938296
45,stanley,54.868,-1.6985,9.6,87,75,3.6,GB,1702938296
46,vilyuchinsk,52.9306,158.4028,-3.85,75,97,4.07,RU,1702938296
47,guantanamo,20.1444,-75.2092,25.76,90,67,2.75,CU,1702938297
48,port elizabeth,-33.918,25.5701,19.5,91,0,1.54,ZA,1702938297
49,badger,64.8,-147.5333,-12.86,85,75,0.0,US,1702938297
50,olonkinbyen,70.9221,-8.7187,-3.35,74,100,4.5,SJ,1702938297
51,konstantinovka,49.6167,127.9833,-35.45,98,13,1.04,RU,1702938297
